Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee
2016-10-27 21:13:53,NBT/BTC,Exchange,Sell,0.00146960,1.56720879,0.00230317,0.15%,3538812707,0.00229972,-1.56720879
2016-10-27 06:41:05,NBT/BTC,Exchange,Sell,0.00145809,37.56204131,0.05476883,0.15%,3538126394,0.05468668,-37.56204131
2016-10-27 04:49:37,NBT/BTC,Exchange,Sell,0.00147219,0.67926014,0.00099999,0.15%,3538097423,0.00099850,-0.67926014
2016-10-27 04:49:05,NBT/BTC,Exchange,Sell,0.00147219,0.06792602,0.00010000,0.15%,3538097423,0.00009985,-0.06792602
2016-10-27 03:29:32,NBT/BTC,Exchange,Sell,0.00145885,0.13986056,0.00020403,0.15%,3538057463,0.00020373,-0.13986056
2016-10-27 01:48:45,NBT/BTC,Exchange,Sell,0.00146632,0.07133163,0.00010459,0.15%,3537984536,0.00010444,-0.07133163
2016-10-27 01:39:03,NBT/BTC,Exchange,Sell,0.00146367,0.07094844,0.00010384,0.15%,3537968552,0.00010369,-0.07094844
2016-10-27 01:33:07,NBT/BTC,Exchange,Sell,0.00146367,167.72889825,0.24549975,0.15%,3537968552,0.24513151,-167.72889825
2016-10-27 01:33:07,NBT/BTC,Exchange,Sell,0.00146526,6.90037605,0.01011084,0.25%,3537968552,0.01008557,-6.90037605
2016-10-27 01:22:58,NBT/BTC,Exchange,Sell,0.00146932,67.72916454,0.09951581,0.15%,3537958562,0.09936654,-67.72916454
2016-10-26 22:17:34,NBT/BTC,Exchange,Buy,0.00147272,163.11912177,0.24022879,0.15%,3537846674,-0.24022879,162.87444309
2016-10-26 22:16:35,NBT/BTC,Exchange,Buy,0.00147272,93.30568207,0.13741314,0.15%,3537846674,-0.13741314,93.16572355
2016-10-26 22:00:21,NBT/BTC,Exchange,Sell,0.00148460,0.67358210,0.00099999,0.15%,3537831689,0.00099850,-0.67358210
2016-10-26 21:36:55,NBT/BTC,Exchange,Buy,0.00147134,32.36855672,0.04762515,0.15%,3537803717,-0.04762515,32.32000389
2016-10-26 19:46:24,NBT/BTC,Exchange,Buy,0.00147616,6.31024659,0.00931493,0.25%,3537743777,-0.00931493,6.29447098
2016-10-26 19:44:01,NBT/BTC,Exchange,Buy,0.00147150,3829.54760000,5.63517929,0.15%,3537724796,-5.63517929,3823.80327860
2016-10-26 19:00:42,NBT/BTC,Exchange,Buy,0.00145817,193.17590000,0.28168330,0.15%,3537661859,-0.28168330,192.88613615
2016-10-26 18:49:09,NBT/BTC,Exchange,Sell,0.00147015,0.10583063,0.00015558,0.15%,3537648872,0.00015535,-0.10583063
2016-10-26 18:40:26,NBT/BTC,Exchange,Sell,0.00147326,0.67876681,0.00099999,0.15%,3537629891,0.00099850,-0.67876681
2016-10-26 18:39:10,NBT/BTC,Exchange,Buy,0.00148967,6.81602900,0.01015363,0.15%,3537617903,-0.01015363,6.80580496
2016-10-26 18:37:57,NBT/BTC,Exchange,Buy,0.00148967,2.35395647,0.00350661,0.15%,3537617903,-0.00350661,2.35042554
2016-10-26 18:37:43,NBT/BTC,Exchange,Buy,0.00148967,6.81602900,0.01015363,0.15%,3537617903,-0.01015363,6.80580496
2016-10-26 18:37:30,NBT/BTC,Exchange,Buy,0.00148967,6.81602900,0.01015363,0.15%,3537617903,-0.01015363,6.80580496
2016-10-26 18:37:19,NBT/BTC,Exchange,Buy,0.00148967,138.13715564,0.20577877,0.15%,3537617903,-0.20577877,137.92994991
2016-10-26 18:33:23,NBT/BTC,Exchange,Sell,0.00146812,0.08268300,0.00012138,0.25%,3537602918,0.00012108,-0.08268300
2016-10-26 18:30:11,NBT/BTC,Exchange,Sell,0.00147404,0.20635582,0.00030417,0.25%,3537596924,0.00030341,-0.20635582
2016-10-26 18:10:57,NBT/BTC,Exchange,Sell,0.00147588,0.07883026,0.00011634,0.15%,3537557963,0.00011617,-0.07883026
2016-10-26 18:01:49,NBT/BTC,Exchange,Sell,0.00147588,921.44507917,1.35994236,0.15%,3537557963,1.35790245,-921.44507917
2016-10-26 17:35:34,NBT/BTC,Exchange,Sell,0.00147427,1.76358468,0.00259999,0.15%,3537527993,0.00259610,-1.76358468
2016-10-26 17:35:17,NBT/BTC,Exchange,Sell,0.00147612,0.07529000,0.00011113,0.25%,3537527993,0.00011086,-0.07529000
2016-10-26 17:35:08,NBT/BTC,Exchange,Sell,0.00148016,0.18452663,0.00027312,0.15%,3537519002,0.00027272,-0.18452663
2016-10-26 17:08:34,NBT/BTC,Exchange,Buy,0.00148156,49.69745045,0.07362975,0.15%,3537497024,-0.07362975,49.62290428
2016-10-26 15:10:53,NBT/BTC,Exchange,Buy,0.00149032,74.39286610,0.11086917,0.25%,3537482039,-0.11086917,74.20688394
2016-10-26 15:06:51,NBT/BTC,Exchange,Buy,0.00148450,0.41120000,0.00061042,0.15%,3537470051,-0.00061042,0.41058320
2016-10-26 13:39:27,NBT/BTC,Exchange,Sell,0.00149511,6.02411937,0.00900672,0.25%,3537399122,0.00898421,-6.02411937
2016-10-26 12:31:12,NBT/BTC,Exchange,Sell,0.00150404,0.51498894,0.00077456,0.25%,3537366155,0.00077263,-0.51498894
2016-10-26 12:31:12,NBT/BTC,Exchange,Sell,0.00150419,6.65735706,0.01001392,0.25%,3537366155,0.00998889,-6.65735706
2016-10-26 12:31:12,NBT/BTC,Exchange,Sell,0.00150420,0.36561681,0.00054996,0.25%,3537366155,0.00054859,-0.36561681
2016-10-26 11:04:43,NBT/BTC,Exchange,Sell,0.00151242,0.42199446,0.00063823,0.15%,3537332189,0.00063728,-0.42199446
2016-10-26 09:02:42,NBT/BTC,Exchange,Sell,0.00151242,101.06008728,0.15284529,0.15%,3537259262,0.15261603,-101.06008728
2016-10-25 23:20:02,NBT/BTC,Exchange,Sell,0.00150548,4.43366120,0.00667478,0.15%,3536867654,0.00666477,-4.43366120
2016-10-25 23:19:48,NBT/BTC,Exchange,Sell,0.00150548,6.66232720,0.01003000,0.15%,3536867654,0.01001496,-6.66232720
2016-10-25 23:19:35,NBT/BTC,Exchange,Sell,0.00150548,6.66232720,0.01003000,0.15%,3536867654,0.01001496,-6.66232720
2016-10-25 23:13:42,NBT/BTC,Exchange,Sell,0.00151137,0.36390824,0.00054999,0.15%,3536859662,0.00054917,-0.36390824
